159.65.7.227 - - [24/Aug/2025:04:44:23 +0700] "GET / HTTP/1.0" 302 818 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
159.65.7.227 - - [24/Aug/2025:04:44:23 +0700] "GET /login HTTP/1.0" 200 1792 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
159.65.7.227 - - [24/Aug/2025:04:44:23 +0700] "GET /inlislite3/ HTTP/1.0" 404 1645 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.5735.110 Safari/537.36"
159.65.7.227 - - [24/Aug/2025:04:44:23 +0700] "GET /inlislite_v3/ HTTP/1.0" 404 1645 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
159.65.7.227 - - [24/Aug/2025:04:44:23 +0700] "GET /inlislite_v3.2/ HTTP/1.0" 404 1645 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
159.65.7.227 - - [24/Aug/2025:04:44:23 +0700] "GET /inlislite_v3.3/ HTTP/1.0" 404 1645 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
159.65.7.227 - - [24/Aug/2025:04:44:23 +0700] "GET /inlislite2/ HTTP/1.0" 404 1645 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
159.65.7.227 - - [24/Aug/2025:04:44:23 +0700] "GET /inlislite_v2/ HTTP/1.0" 404 1645 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15"
159.65.7.227 - - [24/Aug/2025:04:44:23 +0700] "GET /inlislite/ HTTP/1.0" 404 1645 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
159.65.7.227 - - [24/Aug/2025:04:44:23 +0700] "GET /inlislite_v1/ HTTP/1.0" 404 1645 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
159.65.7.227 - - [24/Aug/2025:04:44:23 +0700] "GET / HTTP/1.0" 302 818 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
159.65.7.227 - - [24/Aug/2025:04:44:23 +0700] "GET /login HTTP/1.0" 200 1792 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
159.65.7.227 - - [24/Aug/2025:04:44:24 +0700] "GET /README.md HTTP/1.0" 302 507 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.5735.110 Safari/537.36"
159.65.7.227 - - [24/Aug/2025:04:44:24 +0700] "GET /index.php?p=about_slims HTTP/1.0" 302 515 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.5735.110 Safari/537.36"
159.65.7.227 - - [24/Aug/2025:04:44:24 +0700] "GET /index.php?p=about_slims HTTP/1.0" 302 818 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.5735.110 Safari/537.36"
159.65.7.227 - - [24/Aug/2025:04:44:24 +0700] "GET /login HTTP/1.0" 200 1792 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.5735.110 Safari/537.36"
159.65.7.227 - - [24/Aug/2025:04:44:24 +0700] "GET / HTTP/1.0" 302 469 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
159.65.7.227 - - [24/Aug/2025:04:44:24 +0700] "GET / HTTP/1.0" 302 818 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
159.65.7.227 - - [24/Aug/2025:04:44:24 +0700] "GET /login HTTP/1.0" 200 1792 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
159.65.7.227 - - [24/Aug/2025:04:44:24 +0700] "GET /opac HTTP/1.0" 302 497 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
159.65.7.227 - - [24/Aug/2025:04:44:24 +0700] "GET /index.php/opac HTTP/1.0" 404 1645 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
159.65.7.227 - - [24/Aug/2025:04:44:24 +0700] "GET /library HTTP/1.0" 302 503 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
159.65.7.227 - - [24/Aug/2025:04:44:24 +0700] "GET /index.php/library HTTP/1.0" 404 1645 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
159.65.7.227 - - [24/Aug/2025:04:44:24 +0700] "GET /slims HTTP/1.0" 302 499 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.5735.110 Safari/537.36"
159.65.7.227 - - [24/Aug/2025:04:44:24 +0700] "GET /index.php/slims HTTP/1.0" 404 1645 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.5735.110 Safari/537.36"
159.65.7.227 - - [24/Aug/2025:04:44:24 +0700] "GET /perpus HTTP/1.0" 302 501 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
159.65.7.227 - - [24/Aug/2025:04:44:24 +0700] "GET /index.php/perpus HTTP/1.0" 404 1645 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
159.65.7.227 - - [24/Aug/2025:04:44:24 +0700] "GET /perpustakaan HTTP/1.0" 302 513 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15"
159.65.7.227 - - [24/Aug/2025:04:44:24 +0700] "GET /index.php/perpustakaan HTTP/1.0" 404 1645 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15"
159.65.7.227 - - [24/Aug/2025:04:44:24 +0700] "GET /e-lib HTTP/1.0" 302 499 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.5735.110 Safari/537.36"
159.65.7.227 - - [24/Aug/2025:04:44:24 +0700] "GET /index.php/e-lib HTTP/1.0" 404 1645 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.5735.110 Safari/537.36"
159.65.7.227 - - [24/Aug/2025:04:44:24 +0700] "GET /e-library HTTP/1.0" 302 507 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
159.65.7.227 - - [24/Aug/2025:04:44:24 +0700] "GET /index.php/e-library HTTP/1.0" 404 1645 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
159.65.7.227 - - [24/Aug/2025:04:44:24 +0700] "GET /elib HTTP/1.0" 302 497 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.5735.110 Safari/537.36"
159.65.7.227 - - [24/Aug/2025:04:44:24 +0700] "GET /index.php/elib HTTP/1.0" 404 1645 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.5735.110 Safari/537.36"
159.65.7.227 - - [24/Aug/2025:04:44:25 +0700] "GET /e-perpus HTTP/1.0" 302 505 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
159.65.7.227 - - [24/Aug/2025:04:44:25 +0700] "GET /index.php/e-perpus HTTP/1.0" 404 1645 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
159.65.7.227 - - [24/Aug/2025:04:44:25 +0700] "GET / HTTP/1.0" 302 469 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
159.65.7.227 - - [24/Aug/2025:04:44:25 +0700] "GET / HTTP/1.0" 302 818 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
159.65.7.227 - - [24/Aug/2025:04:44:25 +0700] "GET /login HTTP/1.0" 200 1792 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
159.65.7.227 - - [24/Aug/2025:04:44:25 +0700] "GET /inlislite3/ HTTP/1.0" 302 511 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.5735.110 Safari/537.36"
159.65.7.227 - - [24/Aug/2025:04:44:25 +0700] "GET /index.php/inlislite3/ HTTP/1.0" 404 1645 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.5735.110 Safari/537.36"
159.65.7.227 - - [24/Aug/2025:04:44:25 +0700] "GET /inlislite_v3/ HTTP/1.0" 302 515 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15"
159.65.7.227 - - [24/Aug/2025:04:44:25 +0700] "GET /index.php/inlislite_v3/ HTTP/1.0" 404 1645 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15"
159.65.7.227 - - [24/Aug/2025:04:44:25 +0700] "GET /inlislite_v3.2/ HTTP/1.0" 302 519 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15"
159.65.7.227 - - [24/Aug/2025:04:44:25 +0700] "GET /index.php/inlislite_v3.2/ HTTP/1.0" 404 1645 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15"
159.65.7.227 - - [24/Aug/2025:04:44:25 +0700] "GET /inlislite_v3.3/ HTTP/1.0" 302 519 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15"
159.65.7.227 - - [24/Aug/2025:04:44:25 +0700] "GET /index.php/inlislite_v3.3/ HTTP/1.0" 404 1645 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15"
159.65.7.227 - - [24/Aug/2025:04:44:25 +0700] "GET /inlislite2/ HTTP/1.0" 302 511 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
159.65.7.227 - - [24/Aug/2025:04:44:25 +0700] "GET /index.php/inlislite2/ HTTP/1.0" 404 1645 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
159.65.7.227 - - [24/Aug/2025:04:44:25 +0700] "GET /inlislite_v2/ HTTP/1.0" 302 515 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.5735.110 Safari/537.36"
159.65.7.227 - - [24/Aug/2025:04:44:25 +0700] "GET /index.php/inlislite_v2/ HTTP/1.0" 404 1645 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.5735.110 Safari/537.36"
159.65.7.227 - - [24/Aug/2025:04:44:25 +0700] "GET /inlislite/ HTTP/1.0" 302 509 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15"
159.65.7.227 - - [24/Aug/2025:04:44:26 +0700] "GET /index.php/inlislite/ HTTP/1.0" 404 1645 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15"
159.65.7.227 - - [24/Aug/2025:04:44:26 +0700] "GET /inlislite_v1/ HTTP/1.0" 302 515 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.5735.110 Safari/537.36"
159.65.7.227 - - [24/Aug/2025:04:44:26 +0700] "GET /index.php/inlislite_v1/ HTTP/1.0" 404 1645 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.5735.110 Safari/537.36"
159.65.7.227 - - [24/Aug/2025:04:44:26 +0700] "GET / HTTP/1.0" 302 469 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15"
159.65.7.227 - - [24/Aug/2025:04:44:26 +0700] "GET / HTTP/1.0" 302 818 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15"
159.65.7.227 - - [24/Aug/2025:04:44:26 +0700] "GET /login HTTP/1.0" 200 1792 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15"
182.253.238.235 - - [24/Aug/2025:05:05:52 +0700] "POST /wp-login.php HTTP/1.0" 404 5142 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:104.0) Gecko/20100101 Firefox/104.0"
